Datetime,Provider,Model Name,Input Tokens,Thinking Tokens,Output Tokens,Input Price,Cached Price,Thinking Price,Output Price,Delay,Time to response,Tokens per second
2025-03-05 23:41:04,openai,GPT-4o,30,0,13,0.0,0.0,0.0,0.0,0.0,1.0015273094177246,12.980175256087662
2025-03-05 23:42:03,openai,GPT-4o,35,0,430,0.0,0.0,0.0,0.0,0.0,7.398979425430298,58.116123221276936
2025-03-05 23:52:54,openai,GPT-4o,34,0,409,0.0,0.0,0.0,0.0,0.0,6.413343191146851,63.77329074866826
2025-03-05 23:53:01,openai,GPT-4o,0,0,0,0.0,0.0,0.0,0.0,0.7282977104187012,6.781177043914795,0.0
2025-03-06 00:07:38,openai,GPT-4o,34,0,409,0.0,0.0,0.0,0.0,0.0,7.039055109024048,58.1043895331439
2025-03-06 00:08:30,openai,GPT-4o,34,0,388,0.0,0.0,0.0,0.0,0.0,6.496304988861084,59.726259876235154
2025-03-06 00:08:38,openai,GPT-4o,0,0,0,0.0,0.0,0.0,0.0,0.7535233497619629,7.81210994720459,0.0
